year,N
92,1
92,2
92,3
92,2
92,3
92,1
92,2
92,4
92,6
92,7
92,7
92,15
92,14
92,6
92,6
92,11
92,7
92,5
92,1
92,4
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,3
92,3
92,2
92,4
92,3
92,6
92,7
92,5
92,5
92,15
92,8
92,21
92,4
92,17
92,16
92,14
92,12
92,9
92,2
92,3
92,1
92,2
92,1
92,2
92,1
92,4
92,1
92,2
92,1
92,1
92,3
92,1
92,1
92,2
92,2
92,1
92,6
92,2
92,3
92,15
92,3
92,13
92,7
92,18
92,8
92,17
92,6
92,11
92,4
92,4
92,1
92,1
92,1
92,2
92,1
92,1
92,3
92,1
92,7
92,2
92,8
92,2
92,9
92,1
92,8
92,1
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,2
92,1
92,2
92,2
92,3
92,3
92,1
92,2
92,1
92,1
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,4
92,6
92,5
92,5
92,4
92,7
92,1
92,4
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,3
92,1
92,1
92,2
92,2
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,4
92,1
92,4
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,1
92,2
92,2
92,1
92,1
92,4
92,2
92,1
92,1
92,3
92,2
92,2
92,1
92,2
92,2
92,3
92,2
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,4
92,1
92,1
92,1
92,5
92,3
92,4
92,2
92,8
92,4
92,7
92,5
92,3
92,7
92,9
92,6
92,29
92,19
92,38
92,25
92,30
92,20
92,33
92,20
92,11
92,2
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,3
92,4
92,3
92,8
92,11
92,6
92,6
92,7
92,7
92,14
92,9
92,21
92,11
92,31
92,13
92,26
92,11
92,21
92,9
92,11
92,3
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,4
92,1
92,2
92,2
92,8
92,4
92,5
92,7
92,4
92,6
92,5
92,4
92,4
92,1
92,2
92,1
92,7
92,1
92,1
92,4
92,1
92,3
92,5
92,7
92,8
92,7
92,12
92,6
92,16
92,8
92,7
92,4
92,6
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,4
92,4
92,1
92,2
92,2
92,2
92,1
92,5
92,2
92,2
92,4
92,1
92,6
92,1
92,6
92,5
92,4
92,4
92,16
92,2
92,6
92,2
92,1
92,3
92,1
92,2
92,2
92,6
92,1
92,1
92,5
92,4
92,3
92,3
92,5
92,4
92,10
92,3
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,2
92,4
92,1
92,4
92,4
92,4
92,3
92,2
92,1
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,1
92,2
92,3
92,1
92,2
92,1
92,2
92,5
92,1
92,2
92,4
92,1
92,6
92,3
92,6
92,7
92,16
92,8
92,19
92,12
92,21
92,12
92,19
92,13
92,14
92,9
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,1
92,1
92,2
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,3
92,1
92,4
92,2
92,5
92,8
92,9
92,9
92,19
92,9
92,16
92,17
92,14
92,22
92,29
92,17
92,42
92,21
92,45
92,20
92,33
92,11
92,15
92,1
92,5
92,2
92,1
92,2
92,4
92,3
92,1
92,1
92,5
92,3
92,5
92,5
92,8
92,16
92,15
92,10
92,14
92,5
92,3
92,2
92,1
92,2
92,2
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,6
92,1
92,2
92,1
92,5
92,1
92,4
92,7
92,6
92,11
92,16
92,7
92,11
92,10
92,21
92,13
92,9
92,4
92,5
92,1
92,2
92,1
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,4
92,1
92,1
92,1
92,4
92,4
92,4
92,2
92,8
92,6
92,17
92,11
92,18
92,7
92,16
92,14
92,5
92,4
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,1
92,2
92,6
92,11
92,6
92,12
92,1
92,6
92,3
92,5
92,3
92,2
92,1
92,1
92,1
92,1
92,3
92,1
92,3
92,2
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,2
92,2
92,5
92,6
92,1
92,7
92,6
92,4
92,1
92,3
92,2
92,3
92,2
92,3
92,1
92,3
92,2
92,2
92,2
92,1
92,3
92,1
92,2
92,4
92,1
92,4
92,5
92,4
92,3
92,4
92,5
92,6
92,4
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,3
92,2
92,1
92,3
92,5
92,2
92,2
92,2
92,1
92,2
92,3
92,2
92,1
92,3
92,1
92,4
92,1
92,6
92,1
92,3
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,4
92,1
92,2
92,2
92,1
92,3
92,1
92,2
92,4
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,2
92,3
92,1
92,2
92,7
92,6
92,4
92,6
92,2
92,2
92,1
92,2
92,1
92,8
92,4
92,14
92,6
92,19
92,12
92,33
92,20
92,35
92,19
92,22
92,10
92,13
92,3
92,4
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,2
92,1
92,5
92,4
92,7
92,14
92,11
92,11
92,4
92,15
92,11
92,15
92,11
92,16
92,12
92,31
92,19
92,38
92,10
92,27
92,14
92,19
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,2
92,4
92,3
92,7
92,5
92,4
92,6
92,5
92,6
92,10
92,3
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,5
92,4
92,4
92,1
92,5
92,1
92,4
92,8
92,11
92,13
92,27
92,14
92,15
92,10
92,13
92,9
92,5
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,3
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,3
92,2
92,2
92,5
92,3
92,8
92,5
92,8
92,6
92,7
92,23
92,9
92,17
92,7
92,3
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,11
92,3
92,4
92,2
92,6
92,2
92,1
92,3
92,1
92,1
92,1
92,2
92,1
92,2
92,3
92,1
92,1
92,2
92,3
92,2
92,3
92,1
92,3
92,1
92,1
92,3
92,4
92,2
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,3
92,2
92,2
92,2
92,1
92,2
92,3
92,2
92,1
92,1
92,1
92,1
92,4
92,4
92,1
92,1
92,1
92,1
92,1
92,4
92,2
92,2
92,1
92,2
92,2
92,2
92,2
92,3
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,4
92,2
92,1
92,2
92,1
92,1
92,1
92,4
92,3
92,6
92,5
92,1
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,4
92,7
92,1
92,4
92,1
92,6
92,3
92,4
92,2
92,4
92,3
92,5
92,4
92,26
92,17
92,37
92,12
92,37
92,17
92,23
92,20
92,6
92,5
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,3
92,1
92,4
92,8
92,1
92,5
92,4
92,5
92,3
92,4
92,4
92,5
92,5
92,7
92,5
92,2
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,3
92,4
92,3
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,6
92,3
92,1
92,1
92,2
92,2
92,1
92,1
92,1
92,3
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,4
92,1
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,3
92,1
92,1
92,3
92,5
92,3
92,1
92,3
92,1
92,1
92,1
92,2
92,2
92,6
92,6
92,6
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,7
92,9
92,10
92,7
92,9
92,4
92,9
92,9
92,17
92,9
92,12
92,8
92,17
92,11
92,19
92,8
92,9
92,3
92,7
92,1
92,1
92,1
92,2
92,1
92,6
92,3
92,5
92,2
92,9
92,3
92,4
92,5
92,3
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,2
92,2
92,2
92,1
92,2
92,1
92,6
92,3
92,5
92,2
92,6
92,6
92,1
92,2
92,2
92,1
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,1
92,2
92,2
92,6
92,3
92,4
92,4
92,3
92,4
92,5
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,5
92,3
92,2
92,3
92,4
92,1
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,3
92,7
92,2
92,2
92,2
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,3
92,5
92,6
92,5
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,4
92,2
92,3
92,5
92,1
92,1
92,1
92,1
92,1
92,1
92,5
92,2
92,1
92,1
92,1
92,3
92,1
92,2
92,4
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,3
92,2
92,2
92,3
92,1
92,1
92,4
92,5
92,1
92,1
92,6
92,4
92,8
92,7
92,13
92,8
92,21
92,11
92,11
92,6
92,9
92,7
92,6
92,2
92,1
92,1
92,1
92,2
92,1
92,3
92,2
92,5
92,1
92,2
92,1
92,1
92,2
92,2
92,1
92,1
92,4
92,4
92,4
92,1
92,5
92,12
92,5
92,12
92,6
92,14
92,6
92,9
92,8
92,12
92,18
92,18
92,15
92,32
92,10
92,38
92,11
92,26
92,7
92,10
92,1
92,2
92,2
92,1
92,1
92,2
92,1
92,2
92,2
92,2
92,4
92,5
92,2
92,2
92,4
92,7
92,11
92,10
92,5
92,7
92,4
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,2
92,1
92,1
92,2
92,3
92,2
92,5
92,18
92,7
92,22
92,6
92,13
92,1
92,4
92,1
92,4
